1953,Ford,Crestline,"$15,500","7,608",2
1953,Kaiser,Henry,"$46,000","2,787",2
1953,Chevrolet,210,"$33,000","2,024",1
1953,Buick,Riviera,"$104,000","5,818",1
1953,Chevrolet,3100,"$78,000","4,563",1
1953,Sunbeam,Alpine,"$46,000",912,2
1953,Chevrolet,150,"$26,000","13,691",6
1953,MG,TD,"$16,500","2,610",0
1953,Ford,Crestline,"$24,000",954,2
1953,Jaguar,XK120,"$58,000","2,823",0
1953,Kaiser,Manhattan,"$23,000","2,232",1
1953,Chevrolet,Bel,"$20,000","13,813",7
1953,Mercury,Custom,"$19,000","2,633",4
1953,GMC,Truck,"$22,500","5,988",6
1953,Chevrolet,3100,"$55,000","7,215",2
1953,Buick,Skylark,"$111,000","10,722",8
1953,Mercury,Monterey,"$30,000","6,462",1
1953,Hudson,Hornet,"$32,000","14,608",6
1954,Chevrolet,210,"$38,000","5,755",3
1954,Oldsmobile,98,"$19,000",915,2
1954,Nash,Metropolitan,"$22,000","6,750",7
1954,Chevrolet,3100,"$52,000","3,749",3
1954,Chevrolet,3100,"$29,000","2,146",0
1954,Monarch,Lucerne,"$36,000","9,116",1
1954,Ford,Mainline,"$39,000","5,302",1
1954,Chevrolet,Corvette,"$80,000","6,775",2
1954,Ford,Flatbed,"$22,000","5,921",1
1954,Oldsmobile,88,"$25,000",434,2
1954,Chevrolet,Bel,"$54,000","8,757",7
1954,Chevrolet,5,"$65,000","4,024",1
1954,Jaguar,XK120,"$90,000","4,494",2
1954,MG,TF,"$29,000","9,359",1
1954,Ford,F100,"$55,000","6,785",5
1954,Chevrolet,3100,"$65,000","4,626",0
1954,Bentley,R,"$38,000","7,990",6
1954,Chevrolet,3100,"$49,000","2,487",0
1955,Ford,Thunderbird,"$40,000","8,370",2
1955,Chevrolet,Bel,"$52,000","12,329",4
1955,Chevrolet,Bel,"$52,000","15,276",9
1955,Pontiac,Chieftain,"$52,000","10,571",7
1955,Chevrolet,210,"$62,000","8,382",4
1955,Chevrolet,210,"$37,000","6,435",5
1955,Ford,Thunderbird,"$39,000","5,769",7
1955,Chevrolet,Bel,"$59,000","24,720",9
1955,Chevrolet,Bel,"$26,000","4,428",0
1955,Ford,F1,"$46,000","2,227",0
1955,Ford,Thunderbird,"$46,000","3,655",2
1955,Chevrolet,210,"$65,000","5,362",3
1955,Chevrolet,Bel,"$46,000","4,244",2
1955,Chevrolet,3100,"$33,000","3,892",1
1955,Chevrolet,3100,"$39,000","6,321",6
1955,Chrysler,Imperial,"$46,000","7,512",2
1955,Pontiac,Star,"$30,000","5,649",3
1955,Ford,Fairlane,"$30,000","6,663",3
1955,Mercury,Monterey,"$19,000","7,222",7
1955,Chevrolet,Corvette,"$116,000","7,704",3
1955,Chevrolet,210,"$63,000","4,201",1
1955,Ford,Crown,"$37,000","3,729",3
1955,Chevrolet,Bel,"$65,000","7,652",3
1955,Chevrolet,Bel,"$42,000","4,489",6
1955,Chevrolet,Bel,"$57,000","6,736",4
1955,Chevrolet,Bel,"$14,000","13,246",3
1955,Ford,Thunderbird,"$69,000","4,343",1
1955,Ford,Crown,"$34,000","7,056",3
1955,International,R-110,"$27,000","3,750",1
1955,Cadillac,Coupe,"$59,000","9,569",3
1955,Ford,Crown,"$32,000","2,405",2
1955,Chevrolet,Cameo,"$62,000","19,704",5
1955,Chevrolet,Nomad,"$85,000","22,064",9
1955,Chevrolet,Bel,"$17,500","2,232",0
1955,Oldsmobile,Super,"$39,000","2,126",1
1955,Ford,Thunderbird,"$26,000","8,833",5
1955,Chevrolet,3100,"$82,000","5,879",2
1955,Chevrolet,Bel,"$54,000","2,726",0
1955,Chevrolet,3100,"$46,000","2,081",1
1955,Ford,Fairlane,"$31,000","9,927",4
1955,Ford,F600,"$12,000","1,498",0
1955,Chevrolet,Bel,"$124,000","5,290",3
1955,Chevrolet,Bel,"$116,000","2,478",0
1955,Ford,Customline,"$19,000","3,743",2
1955,Chevrolet,210,"$183,000","14,463",7
1955,Chevrolet,210,"$43,000","4,985",2
1955,Ford,Thunderbird,"$48,000","7,870",2
1955,Chevrolet,210,"$104,000","3,779",1
1955,Chevrolet,Cameo,"$56,000","3,957",0
1955,Chevrolet,Nomad,"$77,000","5,554",1
1955,Chevrolet,210,"$137,000","4,021",2
1955,Ford,Thunderbird,"$41,000","3,895",2
1955,Ford,Thunderbird,"$30,000","2,577",2
1955,Chevrolet,Bel,"$83,000","3,903",0
1956,Bentley,S1,"$42,000","4,438",2
1956,Chevrolet,3100,"$68,000","10,396",6
1956,Ford,F100,"$72,000","3,610",1
1956,Chevrolet,Bel,"$75,000","2,265",2
1956,Chevrolet,Nomad,"$124,000","6,149",5
1956,Ford,Customline,"$18,000","8,851",2
1956,Ford,Fairlane,"$24,000","12,127",5
1956,Chevrolet,Bel,"$37,000","4,946",2
1956,Chevrolet,3100,"$50,000","9,521",5
1956,Chevrolet,Sedan,"$41,000","2,983",2
1956,Hudson,Hornet,"$94,000","2,569",0
1956,Ford,Crown,"$55,000","2,451",0
1956,Studebaker,Golden,"$55,000","6,142",2
1956,Chrysler,Windsor,"$11,000","16,550",10
1956,Chevrolet,210,"$39,000","7,208",4
1956,Chevrolet,Bel,"$39,000","6,411",4
1956,Chevrolet,210,"$72,000","2,736",1
1956,Chevrolet,150,"$89,000","7,438",2
1956,Ford,Victoria,"$75,000",272,0
1956,Buick,Special,"$260,000","8,870",1
1956,Chevrolet,210,"$65,000","4,309",2
1956,Ford,Thunderbird,"$46,000","2,144",2
1956,Chevrolet,Handyman,"$39,000","1,224",0
1956,Ford,Crown,"$89,000","2,192",1
1956,Oldsmobile,98,"$35,000","4,238",3
1956,Ford,Thunderbird,"$46,000",870,1
1956,Ford,Thunderbird,"$78,000","2,798",2
1956,Chrysler,New,"$19,000","21,919",14
1956,Chevrolet,Bel,"$130,000","12,965",7
1956,Ford,Thunderbird,"$84,000","1,001",1
1956,Ford,Thunderbird,"$36,000","6,480",2
1956,Ford,F100,"$117,000","3,995",3
1956,Cadillac,Series,"$76,000","8,070",3
1956,Ford,F100,"$49,000","3,180",2
1956,Cadillac,Coupe,"$63,000","3,337",3
1956,Chevrolet,Bel,"$148,000","10,816",3
1956,Chevrolet,3100,"$30,000","7,609",8
1956,Plymouth,Savoy,"$50,000","5,836",2
1956,Oldsmobile,98,"$37,000","7,303",4
1956,Ford,F100,"$68,000","6,697",3
1956,Ford,Thunderbird,"$75,000","5,009",2
1957,Chevrolet,210,"$66,000","9,157",5
1957,Chevrolet,210,"$156,000","7,526",2
1957,Chevrolet,Bel,"$93,000","12,270",7
1957,Chevrolet,Bel,"$40,000","1,932",1
1957,Chevrolet,210,"$39,000","3,780",1
1957,Cadillac,Fleetwood,"$29,000","13,590",6
1957,Chevrolet,210,"$19,000","17,151",7
1957,Ford,Fairlane,"$24,000","3,323",4
1957,Chevrolet,3100,"$62,000","5,597",3
1957,Chevrolet,Bel,"$43,000","4,243",3
1957,Chevrolet,210,"$33,000","4,842",4
1957,Chevrolet,Bel,"$130,000","5,869",4
1957,Ford,Thunderbird,"$62,000","5,136",3
1957,Cadillac,Coupe,"$42,000","4,229",0
1957,Chevrolet,Corvette,"$78,000","8,068",4
1957,Plymouth,Belvedere,"$43,000","3,967",1
1957,Chevrolet,3100,"$63,000","3,188",2
1957,Ford,Ranchero,"$21,000","6,517",2
1957,Chevrolet,Bel,"$91,000","3,943",3
1957,Chevrolet,Corvette,"$160,000","13,039",6
1957,Chevrolet,Bel,"$33,000","3,212",2
1957,Chevrolet,Bel,"$59,000","5,815",1
1957,Ford,Thunderbird,"$49,000","3,008",3
1957,Chevrolet,Bel,"$32,000","3,661",2
1957,Chevrolet,Bel,"$56,000","1,362",1
1957,Chevrolet,Bel,"$52,000","1,524",0
1957,Ford,Thunderbird,"$40,000","9,894",8
1957,Buick,Century,"$109,000","5,879",1
1957,Ford,Thunderbird,"$47,000","2,865",1
1957,Ford,Fairlane,"$34,000","4,864",3
1957,Chevrolet,Corvette,"$85,000","4,081",1
1957,Chevrolet,Bel,"$28,000","2,394",4
1957,Nash,Metropolitan,"$20,000","3,142",0
1957,Ford,Fairlane,"$33,000","9,288",7
1957,Cadillac,Series,"$43,000","2,849",1
1957,Ford,Thunderbird,"$29,000","4,168",2
1957,Ford,Thunderbird,"$37,000","3,292",1
1957,Chevrolet,Bel,"$60,000","7,233",4
1957,Ford,Thunderbird,"$50,000","2,730",1
1957,Ford,Thunderbird,"$52,000","5,599",3
